,title,link,price
0,"ABADEJO ALASKA CONGELADO FILETE (SIN PIEL), MASCATO, PAQUETE 850 G PESO NETO SIN GLASEADO",https://www.telecompra.mercadona.es/detall_producte.php?id=62180,6.15
1,"ABRILLANTADOR LAVAVAJILLAS, BOSQUE VERDE, BOTELLA 750 ML",https://www.telecompra.mercadona.es/detall_producte.php?id=42314,1.2
2,"ABRILLANTADOR LAVAVAJILLAS, FINISH CALGONIT, BOTELLA 500 ML",https://www.telecompra.mercadona.es/detall_producte.php?id=42301,4.45
3,"ABRILLANTADOR MUEBLES CON ACEITES NUTRIENTES PISTOLA, BOSQUE VERDE, BOTELLA 500 ML",,3.3
4,"ABRILLANTADOR SUELO, BOSQUE VERDE, BOTELLA 1 L",https://www.telecompra.mercadona.es/detall_producte.php?id=43375,2.05
5,"ACEITE ANTIOXIDANTE MULTIUSOS SPRAY, BOSQUE VERDE, BOTE 200 ML",https://www.telecompra.mercadona.es/detall_producte.php?id=90404,1.95
6,"ACEITE CORPORAL ALMENDRAS DULCES, DELIPLUS, BOTELLA 200 ML",,3.2
7,"ACEITE CORPORAL ALOE VERA (BOTELLA VERDE), DELIPLUS, BOTELLA 400 ML",,1.65
8,"ACEITE CORPORAL ALOE VERA, JOHNSON'S, BOTELLA 500 ML",,3.2
9,"ACEITE CORPORAL ANTICELULITICO BIFASICO (TRIPLE ACCION REDUCTORA), DELIPLUS, BOTE 250 ML",,4.5
10,"ACEITE CORPORAL ELIXIR D'AUTOMNE ***NOVEDAD***, ELIXIR, BOTELLA 245 ML",,3.0
11,"ACEITE CORPORAL EN CREMA FLORES BLANCAS, DELIPLUS, TUBO 250 ML",,3.0
12,"ACEITE CORPORAL EN CREMA ORIENTAL, DELIPLUS, TUBO 250 ML",,3.0
13,"ACEITE CORPORAL REPARADOR ANTIESTRIAS, DELIPLUS, BOTELLA 110 ML",,6.0
14,"ACEITE CORPORAL ROMERO, DELIPLUS, BOTELLA 200 ML",,3.2
15,"ACEITE CORPORAL TACTO SECO AROMA FRUTOS DELICIOSOS, DELIPLUS, BOTELLA 250 ML",,3.5
16,"ACEITE DE AGUACATE, ETHNOS, BOTELLA 250 ML",https://www.telecompra.mercadona.es/detall_producte.php?id=4721,5.0
17,"ACEITE DE COCO, HACENDADO, BOTE 450 ML",https://www.telecompra.mercadona.es/detall_producte.php?id=4193,4.5
18,"ACEITE FACIAL DESMAQUILLADOR ESPUMOSO PREVENT, DELIPLUS, BOTELLA 175 ML",,4.0
19,"ACEITE FACIAL LICOPENO ANTIOX, DELIPLUS, TARRO 30 ML",,5.0
20,"ACEITE GIRASOL (ALTO OLEICO) TAPON AMARILLO ***TAMAÑO AHORRO***, HACENDADO, GARRAFA 5 L",https://www.telecompra.mercadona.es/detall_producte.php?id=4047,6.95
21,"ACEITE GIRASOL (ALTO OLEICO) TAPON AMARILLO, HACENDADO, BOTELLA 1 L",https://www.telecompra.mercadona.es/detall_producte.php?id=4046,1.45
22,"ACEITE OLIVA SABOR INTENSO TAPON VERDE, HACENDADO, BOTELLA 1 L",https://www.telecompra.mercadona.es/detall_producte.php?id=4640,3.2
23,"ACEITE OLIVA SABOR INTENSO TAPON VERDE, HACENDADO, GARRAFA 5 L",https://www.telecompra.mercadona.es/detall_producte.php?id=4641,15.5
24,"ACEITE OLIVA SABOR SUAVE (TAPON ROJO), HACENDADO, GARRAFA 5 L",https://www.telecompra.mercadona.es/detall_producte.php?id=4241,15.5
25,"ACEITE OLIVA SABOR SUAVE TAPON ROJO, HACENDADO, BOTELLA 1 L",https://www.telecompra.mercadona.es/detall_producte.php?id=4240,3.2
26,"ACEITE OLIVA VIRGEN EXTRA ***SUJETO A DISPONIBILIDAD***, CASA JUNCAL, BOTELLA 500 ML",https://www.telecompra.mercadona.es/detall_producte.php?id=4850,3.95
27,"ACEITE OLIVA VIRGEN EXTRA GRAN SELECCION (TAPON DOSIFICADOR), HACENDADO, BOTELLA CRISTAL 750 ML",https://www.telecompra.mercadona.es/detall_producte.php?id=4706,4.1
28,"ACEITE OLIVA VIRGEN EXTRA SPRAY, HACENDADO, BOTE 200 ML",https://www.telecompra.mercadona.es/detall_producte.php?id=4718,2.0
29,"ACEITE OLIVA VIRGEN EXTRA TAPON NEGRO, HACENDADO, GARRAFA 3 L",https://www.telecompra.mercadona.es/detall_producte.php?id=4717,11.0
30,"ACEITE OLIVA VIRGEN EXTRA TAPON NEGRO, HACENDADO, BOTELLA 1 L",https://www.telecompra.mercadona.es/detall_producte.php?id=4740,3.95
31,"ACEITE OLIVA VIRGEN TAPON VERDE OSCURO, HACENDADO, BOTELLA 1 L",https://www.telecompra.mercadona.es/detall_producte.php?id=4749,3.5
32,"ACEITE OLIVA VIRGEN TAPON VERDE OSCURO, HACENDADO, GARRAFA 3 L",https://www.telecompra.mercadona.es/detall_producte.php?id=4711,10.0
33,"ACEITE POST DEPILACION, DELIPLUS, BOTELLA 50 ML",,3.0
